O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
1210721,60046,O,110315.19,1998-01-19,3-MEDIUM,Clerk#000000154,0,ular deposits cajole furiously according to the fluffily pe,60046,Customer#000060046,VnzEPMAo8c9UxMI6,20,30-318-671-3782,1022.57,AUTOMOBILE, carefully unusual packages boost carefully across the furious
1222503,60076,O,152824.87,1998-03-15,5-LOW,Clerk#000000744,0,d carefully according to the blithely ,60076,Customer#000060076,L8fTINc0fbWJ,20,30-402-978-3763,3040.10,MACHINERY,"kly final packages. unusual, even foxes after the even, regu"
1230661,60037,F,363035.36,1993-02-27,2-HIGH,Clerk#000000937,0,ges. furiously bold requests against the blithely ironic requests boost sl,60037,Customer#000060037,CwMXJOZEIpfMBG Ou8i,4,14-558-867-3263,1032.42,MACHINERY," regular, slow asymptotes cajole carefully after the even packages. regular ex"
1231687,60004,O,75668.87,1997-02-22,2-HIGH,Clerk#000000221,0,ly alongside of the,60004,Customer#000060004,"NivCT2RVaavl,yUnKwBjDyMvB42WayXCnky",10,20-573-674-7999,7975.22,AUTOMOBILE, furiously above the ironic packages. slyly brave ideas boost. final platelets detect according to the ironi
1231971,60067,O,227089.22,1998-05-30,5-LOW,Clerk#000000103,0,ely attainments. carefully regular foxes boost c,60067,Customer#000060067,"LC9126Kz5Xl5yGn5Wz3E,JJeBeFMiB",4,14-490-596-5723,1874.19,HOUSEHOLD,ts wake alongside of the carefully silent pinto beans. slyly ironic decoys cajole quickly. qu
1238948,60071,O,134109.51,1997-04-09,4-NOT SPECIFIED,Clerk#000000694,0,long the furiously final water,60071,Customer#000060071,5OpD50GLeQCOEfSwMIGK2Ex111bsESvygAzj,1,11-933-273-2627,7050.68,FURNITURE,"fily ironic accounts haggle blithely. regular, final requests engage "
1242948,60034,O,168312.01,1996-09-27,2-HIGH,Clerk#000000510,0,"ly after the express, bold ",60034,Customer#000060034, XHRzdojlNAuRjTNRn7A1aL9OYJj56nud1sVss,14,24-991-831-7826,7230.69,AUTOMOBILE,"sts. final packages along the daringly bold ideas haggle blithely slyly careful requests. unusual, bold as"
1243589,60011,P,286468.23,1995-04-01,4-NOT SPECIFIED,Clerk#000000425,0,y even instructions s,60011,Customer#000060011,"Y GqUG1QEdWr8 zkApzAXLkjOe,XMnJvV6,",8,18-421-991-6811,3422.48,BUILDING,se carefully even deposits. carefully pending requests cajole furiously p
1245286,60071,F,168513.93,1995-02-14,1-URGENT,Clerk#000000180,0,"as along the ironic, regular instructions cajole slyly ",60071,Customer#000060071,5OpD50GLeQCOEfSwMIGK2Ex111bsESvygAzj,1,11-933-273-2627,7050.68,FURNITURE,"fily ironic accounts haggle blithely. regular, final requests engage "
1248006,60010,O,341486.29,1998-01-06,5-LOW,Clerk#000000406,0,"eside the bold, ironic instructions cajole th",60010,Customer#000060010,c4vEEaV1tdqLdw2oVuXp BN,21,31-677-809-6961,3497.91,HOUSEHOLD,"fter the quickly silent requests. slyly special theodolites along the even, even requests boos"
